username,rating,comment,date;;;;
"Razzan Alunda,1,""berat apk nya woi, logis dikit dong kalo buat aplikasi, masa semua jenis feature gak guna harus dimasukin???"",2025-12-31 23:12:11";;;;
"Arvella Vyo D.,3,""Aplikasi ini gajelas. Saya lagi main game permainan kata, tiba"""" kebuka shopee. Ga sekali dua kali karena awalnya saya kira itu iklan ternyata berkali kali. Game itu sedikit iklannya dan saya liat ga ada iklan shopee. Ini bukan pertama kalinya begini, di beberapa aplikasi lain kayak Webtoon, dan beberapa aplikasi lain juga. Lagi ga ada iklan tiba"""" ke-switch ke aplikasi ini. Ganggu tau ga? Saya kalo belanja juga pakenya ini, kalo ga dibutuhkan gausah ngebet kaya gt. Tiba"""" ngebuka shopee ky hacker"",2025-12-31 23:03:21";;;;
Ariyanto Filan,1,chat cs lama antrinya.apa karna bnyak yg di lay off?,2025-12-31 22:51:43;;;;
"alissa quamila,1,""tiap mau bayar pakai shopeefood error. pdhl udh pesen dan bayar, saya keluar aplikasi, saya balik mau cek makanan udh sampai mana, gataunya blm selesai di bayar. dan mirisnya setelah saya pesan lg harga berubah. saya jg pernah beli kuota bulanan di shopee 80k, pesanan sedang diproses tapi gak masuk kuotanya sampai siang hari. saldo shopee saya udh berkurang tp kuota saya gamasuk. saya hubungi cs respon lama. kita tinggal bentar udah diselesaikan aja keluhan kita. curang."",2025-12-31 22:30:41";;;;
"Ditya Sky,1,""ini ya saran aja , jangan terlalu diiniin , apa namanya .... karena lagi baca wp tbtb masuk ke halaman shopee, tolong lah teman ku . ada waktunya kita belanja pasti mampir kok , jangan terlalu memaksakan gitu loh , menggangu kegiatan orang , kan kita udh punya app nya kalau mau belanj pasti buka app nya kan , jangan lagi buka aplikasi lagi malah shopee ini yg muncul gitu loh ...... ya tolong lah"",2025-12-31 22:20:21";;;;
Muhammad Ammar Dyraizaz,1,mangsud koe apa mas follower shoppe ku ga ada cewe ku sendiri? udah connect kontak kok ga ada kontak dia?,2025-12-31 22:16:30;;;;
"Singgih Anggun Farizal,1,""berat, menguras baterai, sering entah mengapapaling mengahabiskan daya baterai, padahal aplikasinya tdk dibuka"",2025-12-31 21:13:13";;;;
husnul arief,5,mantaaap,2025-12-31 19:49:02;;;;
Silvy Aulia Putri,1,Tiap buka aplikasi selalu dialihkan ke halaman video yang mana itu berisik bangetttt dan mau upload foto jualan juga selalu ngga bisa karna tiba2 ke halaman video. Bukan sekali dua kali. Tolong ditingkatkan.,2025-12-31 18:09:17;;;;
Ayuna Delisha,3,klo di app lain iklan mulu trs padahal ga di pencet masuk sendiri ke shoppe,2025-12-31 17:21:03;;;;
Blue Stripes Monkey 2,5,Pengirimannya selalu cepat dan terpercaya. Terima kasih sudah membantu saya.,2025-12-31 17:09:39;;;;
"gisnayllafajria,5,""Shopee Indonesia adalah toko online yang paling saya suka. Mulai dari baju, skincare, makeup semuanya lengkap, harga murah dan terjangkau. Namun aplikasi ini agak sedikit lag dan lambat, mungkin bisa di perbaiki, terimakasih."",2025-12-31 16:26:34";;;;
"Ipang Deni,1,""malas buka shopee sekarang langsung ke live, kalau volume lagi besar jadi berisik."",2025-12-31 16:17:03";;;;
Marulak Bonaparte Manurung,5,recommended apps,2025-12-31 16:04:07;;;;
Boby Boby,5,It is not just an e-commerce platform but also serves as a source of solutions.,2025-12-31 15:52:01;;;;
Altz,1,laporan saya ketipu sama penjual dengan akun Satelit_Digital sampai saat ini tidak ditindak lanjutin oleh shoppe. Mengecewakan pelayanan shoppe.,2025-12-31 15:40:27;;;;
mqin doank,5,the best,2025-12-31 14:59:52;;;;
"Andhika Rafi Permana,1,""UI terlalu banyak opsi dan tidak user friendly, mau akses voucher diskon yang sudah saya beli aja susah banget"",2025-12-31 14:50:16";;;;
"v stupidtv,5,""opsi harga yang ditawarkan penjual di shopee di saat saya tulis ini,lebih oke daripada penjual di toko ijo huehehe"",2025-12-31 14:50:12";;;;
Baiq “Mrs. Rita Douglas” Rita Sugiati,5,memberikan Saya begitu banyak kemudahan di saat benar2 membutuhkan 😊🥰💝,2025-12-31 14:37:43;;;;
"Yusuf Maulana,1,""kacau barang udah dikirim ke user, malah dinyatakan melanggar ketentuan, harusnya sebelum barang dikirim di cancel aja transaksinya, baru pertama kali jualan online untung 200 nombok 2jt"",2025-12-31 14:36:36";;;;
The DeMeet,5,Muantaaafff,2025-12-31 14:31:23;;;;
aries taopiek,3,fix jangan install app ini. lemot sekali karena pas dibuka langsung ke video. fix lemot sekali.,2025-12-31 14:30:52;;;;
Tyas Yuma Sirsyam,5,Awesome,2025-12-31 14:16:15;;;;
"Rindia Pancawarni,1,""I love shopping on Shopee, but I don't like the current app because when I open it, it goes straight to a video, which is quite heavy and jarring. Previously, opening the app would go straight to the homepage, why is it now directed directly to live & video?"",2025-12-31 14:12:57";;;;
"nisa zainatun,1,""plis iklan kalian ganggu banget. ada dimana mana, lagi buka wattpap enak enak baca malah beralih keshopee. bisa ga sih dikurangin iklannya"",2025-12-31 12:39:31";;;;
"Syamsir Van Java,5,""user interface menarik, manageman system pembayaran fair dan transparan ..."",2025-12-31 12:31:54";;;;
Tommy Kristianson Tambunan,3,turun bintangnya dari 5 ke 3. pemilihan daerah buat belanja di toko yg ada di Kota Bekasi jd hilang. Di update malah jd nyusahin. Sy klo cari barang pasti dr seller Jaktim dan Kota Bekasi karena dekat dengan domisili jadi bisa cepat.,2025-12-31 11:59:54;;;;
"Buddy's 96,1,""Fitur AI nya sok tahu. Main asal jawab, tidak ada varian A dijawab ada. Gini dapat menurunkan reputasi toko, karena harus melakukan pembatalan. Sediakan opsi mematikan fitur AI sepenuhnya."",2025-12-31 11:29:32";;;;
niel,1,fitur live/video nya annoying. begitu buka app langsung ke video. aku mau lihat produk malah disuruh nonton video. gak usah ikut-ikutan tiktok. tolong kembangkan lagi aplikasinya. terimakasih.,2025-12-31 11:18:20;;;;
